Time(s),x(m),Stdev
0.1,-0.558943291,0.00017539
0.2,-0.555101691,0.00017539
0.3,-0.550985691,0.00017539
0.4,-0.545497691,0.00017539
0.5,-0.539186491,0.00017539
0.6,-0.532600891,0.00017539
0.7,-0.524368891,0.00017539
0.8,-0.516136891,0.00017539
0.9,-0.506532891,0.00017539
1,-0.496105691,0.00017539
1.1,-0.484855291,0.00017539
1.2,-0.473056091,0.00017539
1.3,-0.460159291,0.00017539
1.4,-0.446439291,0.00017539
1.5,-0.431896091,0.00017539
1.6,-0.416529691,0.00017539
1.7,-0.400614491,0.00017539
1.8,-0.383601691,0.00017539
1.9,-0.366040091,0.00017539
2,-0.347380891,0.00017539
2.1,-0.327898491,0.00017539
2.2,-0.307867291,0.00017539
2.3,-0.287012891,0.00017539
2.4,-0.265609691,0.00017539
2.5,-0.243108891,0.00017539
2.6,-0.219784891,0.00017539
2.7,-0.195912091,0.00017539
2.8,-0.171490491,0.00017539
2.9,-0.145971291,0.00017539
3,-0.119628891,0.00017539
3.1,-0.092737691,0.00017539
3.2,-0.064748891,0.00017539
3.3,-0.036485691,0.00017539
3.4,-0.007124891,0.00017539
3.5,0.023059109,0.00017539
3.6,0.053791909,0.00017539
3.7,0.085347909,0.00017539
3.8,0.117727109,0.00017539
3.9,0.150655109,0.00017539
4,0.184680709,0.00017539
4.1,0.219529509,0.00017539
4.2,0.255201509,0.00017539
4.3,0.293343109,0.00017539
4.4,0.330112709,0.00017539
4.5,0.367705509,0.00017539
4.6,0.406121509,0.00017539
4.7,0.445086309,0.00017539
4.8,0.484874309,0.00017539
4.9,0.524387909,0.00017539
5,0.563352709,0.00017539
5.1,0.607531109,0.00017539
5.2,0.647044709,0.00017539
5.3,0.693418309,0.00017539
5.4,0.733755109,0.00017539
5.5,0.781500709,0.00017539
5.6,0.799336709,0.00017539
5.7,0.758999909,0.00017539
5.8,0.721132709,0.00017539
5.9,0.679149509,0.00017539
6,0.639910309,0.00017539
6.1,0.605884709,0.00017539
6.2,0.566919909,0.00017539
6.3,0.531522309,0.00017539
6.4,0.499417509,0.00017539
6.5,0.465391909,0.00017539
6.6,0.432738309,0.00017539
6.7,0.400633509,0.00017539
6.8,0.369626309,0.00017539
6.9,0.337521509,0.00017539
7,0.307886309,0.00017539
7.1,0.279623109,0.00017539
7.2,0.252183109,0.00017539
7.3,0.225840709,0.00017539
7.4,0.200047109,0.00017539
7.5,0.175076709,0.00017539
7.6,0.151203909,0.00017539
7.7,0.128703109,0.00017539
7.8,0.106751109,0.00017539
7.9,0.085622309,0.00017539
8,0.065316709,0.00017539
8.1,0.045834309,0.00017539
8.2,0.027449509,0.00017539
8.3,0.010436709,0.00017539
8.4,-0.006027291,0.00017539
8.5,-0.021668091,0.00017539
8.6,-0.036760091,0.00017539
8.7,-0.050480091,0.00017539
8.8,-0.063651291,0.00017539
8.9,-0.075450491,0.00017539
9,-0.086700891,0.00017539
9.1,-0.097402491,0.00017539
9.2,-0.106732091,0.00017539
9.3,-0.115238491,0.00017539
9.4,-0.122921691,0.00017539
9.5,-0.129781691,0.00017539
9.6,-0.136092891,0.00017539
9.7,-0.141306491,0.00017539
9.8,-0.145422491,0.00017539
9.9,-0.148989691,0.00017539
10,-0.151459291,0.00017539
10.1,-0.153380091,0.00017539
10.2,-0.154203291,0.00017539
10.3,-0.154203291,0.00017539
10.4,-0.153380091,0.00017539
10.5,-0.151459291,0.00017539
10.6,-0.149264091,0.00017539
10.7,-0.145971291,0.00017539
10.8,-0.141580891,0.00017539
10.9,-0.136367291,0.00017539
11,-0.130604891,0.00017539
11.1,-0.123744891,0.00017539
11.2,-0.116610491,0.00017539
11.3,-0.108378491,0.00017539
11.4,-0.099048891,0.00017539
11.5,-0.088896091,0.00017539
11.6,-0.078194491,0.00017539
11.7,-0.066944091,0.00017539
11.8,-0.054321691,0.00017539
11.9,-0.041150491,0.00017539
12,-0.026881691,0.00017539
12.1,-0.012064091,0.00017539
12.2,0.003302309,0.00017539
12.3,0.019766309,0.00017539
12.4,0.037053509,0.00017539
12.5,0.055163909,0.00017539
12.6,0.074097509,0.00017539
12.7,0.093854309,0.00017539
12.8,0.113885509,0.00017539
12.9,0.135014309,0.00017539
13,0.157240709,0.00017539
13.1,0.180015909,0.00017539
13.2,0.203339909,0.00017539
13.3,0.227761509,0.00017539
13.4,0.253006309,0.00017539
13.5,0.278799909,0.00017539
13.6,0.305965509,0.00017539
13.7,0.335326309,0.00017539
13.8,0.363040709,0.00017539
13.9,0.392127109,0.00017539
14,0.421762309,0.00017539
14.1,0.452220709,0.00017539
14.2,0.483227909,0.00017539
14.3,0.514509509,0.00017539
14.4,0.544693509,0.00017539
14.5,0.577621509,0.00017539
14.6,0.608354309,0.00017539
14.7,0.646770309,0.00017539
14.8,0.684911909,0.00017539
14.9,0.720583909,0.00017539
15,0.757627909,0.00017539
